support,itemsets
0.06638775951132324,['JcrFXI7wzq/14kZRPCdix3feq0/yQh1gHU06bGQwNBE=']
0.0496140474927818,['fbuOkTzKc7bABIGPJvp/bTmmesQeECfkMWrERS9NDEo=']
0.0373971284347809,['Ps4dfShfpeMF3VG030HqZ2bsbD7PaVxvJYFTtroeSzQ=']
0.06556282285467366,['CPI+5YCeEmhqdk6znJeii6jJUNl1QWGEvwCUJ6uLflg=']
0.04904444837271424,['zpLoCKHOugDScAlFt0XHJJKFwU+r3YZaBlTf5G7qWpE=']
0.04821951171606466,['Lhd00PvCdq23PNggSHEbszeZ68vTRWdg6MmaBD1kEZ8=']
0.04503761318327343,['WzvugOYA7I7EAC0ty8LiMKIA+9T/CYrBJx5dG+/QcMw=']
0.04075579910828276,['65YgA0ahggSdeaYBdRl82v/AO+pGzmZFqsi8TTDiP3Y=']
0.037298921689941665,['fO1unC+JwTokAOIH14ps0gxCtaiEW5C6RtdsHir5PQM=']
0.04107006069176831,['jvSzlPLRjqqstMszjfw2Y1+0IOmVTo8P8l/rpJzPgNU=']
0.037554259226523674,['Xt9R4E9f2za5+yOINEKCRJbnm/ML+pyrsUJb6rs1XTk=']
0.04521438532398405,['ByQA/MmCIFpFDmbqdsY9HPLUXlMwe6dauKrJXJFmtO0=']
0.04093257124899338,['8Ym4s3vcF6pOUvb/40MoFgXhozbjEeY5KL6S60BHW2A=']
0.03763282462239507,['dp0m1kS6Bygoksx9S/gkBqTcWPoglbf1HT3Ma3U3N8U=']
0.03959695951917978,['gNyTSOhVPx7BtUSsEdgCgV4rbwDOKngaJWFrYB0EinM=']
0.048455207903678826,['ViIxd7sl/Dp2C0nC24swu3Cm5o8UkaEMgyMuUp7pq0g=']
0.0445269381101094,['ZS2aKTrfYoSFzhm+weF3amIGgUrNaR6urAPzgLNqWdY=']
0.04244495511951761,['uARLhNTVv+B9sHgK+FR/rGo126mTuK6g9WGLYh9qQZU=']
0.04209141083809636,['5GSDEOPz8ykUYPVBbe6s8+TAN1rUxtQgcpirWtxAP30=']
0.04140396362422171,['5gAwpmADo34wxzAw/auRsRgPsj+RvWPNWhOj3SdP0Ss=']
0.05476008092235775,"['T7V7D8OgJF2BeuK/agj56BY9ibTmoqRbGdtwrt8a1SQ=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
0.03733820438787736,"['T7V7D8OgJF2BeuK/agj56BY9ibTmoqRbGdtwrt8a1SQ=', 'PqQyQvOjvvozBCtlR/0pL8uxhe0K63IPiKYCi1tDG1o=']"
0.04741421640838293,"['OVGQBBcCHSOyJ89uwY+z15n2iuZYrv8Tajf37jiGzqc=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
0.040677233712411366,"['OVGQBBcCHSOyJ89uwY+z15n2iuZYrv8Tajf37jiGzqc=', 'lvobiTtwUsd1ylmrciW7NzJnmmcqFC1J9PmoZ6R8xK0=']"
0.059729342211223065,"['PqQyQvOjvvozBCtlR/0pL8uxhe0K63IPiKYCi1tDG1o=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
0.05350303458841553,"['TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=', 'lvobiTtwUsd1ylmrciW7NzJnmmcqFC1J9PmoZ6R8xK0=']"
0.04095221259796123,"['w3a6Wk12CqIrUktZei2Z0W3Rf8xdgEdjIW9QX0MWIf8=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
0.038752381513562355,"['vhz7ZImgcFLciakjMFdmn0S/He85wqQkhLiYXRPpu18=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
0.04293598884371379,"['jImuGvSym6odgRoYw7vgkq4HUbmJ1tDW9fq6bo/yN5s=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
0.06080961640445466,"['hv7kHCAIdj7thZUmlqz553leG5bFNYgzXmLfB5m4Xvw=', 'TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']"
